mean_x;mean_y;mean_z;var_x;var_y;var_z;peak_to_peak_x;peak_to_peak_y;peak_to_peak_z;zero_crossings_x;zero_crossings_y;zero_crossings_z;Activity
-231.33;-153.6;981.9;2645.02;8201.71;6167.89;191;416;353;0;3;0;Driving
-277.57;-5.67;978.47;1019.58;3830.36;1288.52;119;300;142;0;17;0;Driving
-314.83;44.5;951.07;548.21;1909.65;1106.4;81;173;159;0;8;0;Driving
-306.6;41.4;951.2;340.31;1138.84;982.23;76;137;138;0;8;0;Driving
-292.6;42.27;959.4;565.24;2308.26;1675.71;87;191;199;0;10;0;Driving
-349.13;22.5;928.6;2455.18;1652.52;4487.17;180;156;264;0;11;0;Driving
-298.93;40.17;961.13;1917.86;5134.61;2699.52;222;329;250;0;10;0;Driving
-305.53;26.47;965.27;695.65;2645.12;2134.53;113;186;218;0;15;0;Driving
-334.47;50.67;951.0;915.98;4932.49;1730.2;114;335;205;0;6;0;Driving
-345.53;28.8;942.17;919.52;2324.56;1564.87;121;208;150;0;10;0;Driving
-360.37;38.5;932.77;982.57;3096.18;1538.51;118;205;148;0;7;0;Driving
-349.0;40.9;943.03;548.8;3296.36;2748.03;101;243;223;0;12;0;Driving
-352.33;47.5;945.77;390.82;2832.12;2508.65;100;198;251;0;10;0;Driving
-355.1;23.53;940.6;641.76;5081.05;5016.71;108;443;289;0;12;0;Driving
-352.93;41.53;950.53;1667.6;2850.25;6568.12;189;261;449;0;7;0;Driving
-335.63;51.97;933.07;595.03;1882.03;2882.8;113;184;249;0;3;0;Driving
-341.03;38.53;940.0;653.9;1642.85;1424.13;104;153;147;0;12;0;Driving
-338.97;58.9;935.23;868.83;1534.69;2617.18;118;163;206;0;4;0;Driving
-312.6;30.27;974.3;2980.71;2238.13;2881.48;206;226;206;0;9;0;Driving
-342.83;56.13;948.67;3775.61;4380.98;2586.22;247;252;189;0;12;0;Driving
-330.97;87.5;942.57;1188.83;6095.92;3994.85;153;336;225;0;9;0;Driving
-339.73;58.27;938.8;1332.4;3146.53;2687.03;125;245;187;0;8;0;Driving
-335.03;45.17;940.17;758.63;1170.01;2041.34;92;142;209;0;8;0;Driving
-338.5;54.17;941.1;699.45;1247.34;1821.69;117;146;168;0;2;0;Driving
-339.4;73.43;940.67;716.44;1325.18;3570.09;125;139;253;0;2;0;Driving
-344.5;82.1;932.6;432.58;1368.42;1466.71;90;186;176;0;0;0;Driving
-341.6;56.13;949.0;525.57;1477.45;1282.2;126;169;158;0;4;0;Driving
-337.3;67.5;935.13;309.94;1221.52;1383.05;66;105;141;0;0;0;Driving
-336.1;47.5;940.8;480.22;744.45;1188.03;84;109;124;0;4;0;Driving
-339.37;59.9;938.4;584.63;1268.82;1093.97;93;140;167;0;4;0;Driving
-335.0;48.17;944.87;623.8;1459.67;2179.58;91;183;167;0;2;0;Driving
-342.37;45.93;934.73;965.43;3055.6;3269.46;141;212;215;0;10;0;Driving
-336.03;38.77;928.17;391.77;1678.18;1866.61;75;176;191;0;8;0;Driving
-338.67;62.4;922.87;392.49;1804.11;1189.38;87;162;130;0;5;0;Driving
-351.73;46.87;949.3;1183.4;4102.25;2328.41;150;290;255;0;10;0;Driving
-356.0;70.7;922.57;2247.87;6563.14;9945.18;189;261;448;0;12;0;Driving
-380.03;40.73;920.17;1905.97;1376.66;1758.01;166;159;163;0;8;0;Driving
