X (mg);Y (mg);Z (mg)
-576;3239;141
-645;1502;-443
-287;820;-232
106;666;228
505;501;549
512;301;391
297;54;0
224;138;-9
-160;2222;467
-143;3220;-397
240;851;-526
150;526;-289
-394;499;350
-934;655;758
-553;224;274
-296;67;-17
-78;640;233
-453;2925;-192
-458;2547;0
-396;836;-200
-189;667;147
169;363;336
523;372;399
330;58;127
1874;532;774
1366;-557;-620
933;-1094;-389
2462;-315;-416
2790;1721;-166
1470;1094;1049
1199;349;554
-203;1309;440
-408;1200;174
321;135;353
1042;428;39
3114;296;-175
3322;572;-201
2486;1500;300
1426;451;-334
-758;-1969;-782
-1248;-1142;-719
-3;-688;-16
1637;146;311
1046;1000;-474
2024;-904;-13
1169;-956;97
1715;-18;-183
3113;1462;-640
1878;822;1036
1196;245;551
40;1471;353
-602;1917;477
313;196;162
1389;349;118
3574;425;44
3362;82;-531
2628;1325;398
1580;574;-393
-951;-2199;-1267
-1295;-1561;-957
33;-970;247
1951;322;221
1298;993;-605
2013;-817;104
1121;-468;-95
1427;58;-254
3482;1789;-420
1733;772;1082
1119;116;378
-228;1573;258
-576;1316;401
120;221;265
1071;344;25
3457;998;198
3687;192;-701
2183;1233;195
1159;414;-420
-891;-2734;-1423
-988;-1714;-641
-259;-667;168
1556;971;263
1765;1211;-539
2551;-987;121
434;-1100;-736
2430;-261;-131
3411;2051;-427
1744;965;1558
774;241;96
-597;1664;579
-141;803;300
330;10;184
632;393;-100
2913;1210;92
3815;30;-580
2233;1327;457
1252;680;-199
-655;-2328;-1229
-1203;-2037;-721
-13;-925;257
1648;568;315
1627;1557;-965
2512;-775;378
429;-1240;-627
2394;-121;-530
3380;1855;-242
1535;769;1336
655;378;304
-316;1473;425
-520;1001;330
222;435;247
1489;679;-51
3822;374;-253
3156;267;-248
2183;1489;376
1032;185;-746
-1042;-2701;-1861
-1176;-1714;-568
131;-325;932
2626;1058;-277
878;-402;513
2846;-645;-406
721;-444;-1019
2540;1224;-660
2351;1605;597
1839;-91;954
492;604;240
-818;1989;667
-26;529;344
758;345;141
2815;1288;52
3943;-209;-751
2137;541;108
1507;1588;234
-180;-2085;-1695
-1236;-2209;-867
-386;-1164;147
1060;238;468
2330;1374;-747
800;-170;345
2144;-746;-233
741;-882;-683
3434;925;-839
2417;1672;1105
957;711;599
-239;1290;487
-279;1079;609
500;-31;388
1101;451;-155
3565;1407;114
3424;-273;-714
2041;874;325
1215;695;-225
-810;-2132;-1476
-1248;-1900;-589
-198;-843;405
1768;571;271
1855;1266;-325
2149;-756;-393
946;-786;-228
1445;-580;-380
3692;1309;-612
1958;1781;1465
667;218;253
-447;1353;609
-220;887;496
437;461;189
1288;696;-125
3667;403;-402
3041;214;-239
1925;1415;289
995;47;-549
-880;-2601;-1430
-930;-1738;-274
70;-803;349
2005;871;174
873;1066;-763
2518;-664;-250
386;-826;-31
2178;-209;-579
3345;1819;-222
1443;748;1186
594;752;306
-553;1922;663
10;556;390
617;454;67
2556;1019;76
3927;-246;-827
2583;594;39
1734;1139;101
130;-1767;-1346
-1302;-2177;-966
-747;-1358;-54
942;197;1187
2298;1292;-1148
1705;-66;-327
1285;-232;148
289;-1125;-1043
3452;315;-662
2775;1644;939
1197;404;636
-156;1198;267
-689;1665;555
341;768;234
670;276;-243
3047;873;244
3746;-682;-1048
2149;1104;230
1661;1542;127
254;-1262;-1058
-1523;-2534;-991
-268;-1485;265
1159;-179;335
1990;1547;-1056
1496;-207;-453
1677;-685;371
628;-779;-803
3546;1167;-967
2531;1837;1443
924;73;396
-253;1307;465
-620;1471;659
333;437;361
1202;517;-167
3903;1108;4
3360;-379;-380
1805;1043;175
935;131;-728
-1010;-2654;-1480
-1207;-1936;-227
61;-499;401
1942;806;-150
1295;192;156
2898;-321;-395
218;-330;-1044
2204;555;-879
3195;1174;548
1472;487;813
-192;1230;489
-480;1508;752
474;400;297
931;510;-196
3392;1226;129
3728;-573;-941
2321;987;387
1325;1084;-170
-737;-2239;-1456
-1170;-1944;-864
-195;-1129;-278
1256;377;715
2155;1514;-410
2064;4;-8
1082;-758;-194
571;-1587;-900
3185;-79;-1028
3242;2595;1493
1703;331;398
-416;1310;-138
-963;2061;377
252;403;113
578;-76;74
942;645;-274
3763;1091;-78
3199;-313;-309
1950;1225;482
1056;163;-455
-1269;-2509;-1189
-625;-1527;-496
7;-728;11
2397;665;-428
926;587;490
2371;-497;-568
-312;-474;-1179
2709;610;-574
2994;1684;461
1529;-297;971
546;630;90
-971;2838;631
-259;1158;257
730;244;-12
3060;1165;-53
3962;-3;-849
2696;338;290
1588;1085;212
-200;-1581;-1527
-1250;-2557;-1124
-289;-1523;214
1799;430;469
1565;1856;-586
365;-46;148
2416;-1064;-145
607;-1475;-1100
3268;198;-976
2943;2285;1308
1050;1252;333
-533;1605;279
-366;1498;198
475;455;234
665;119;-221
2086;1007;9
3943;-351;-862
2096;204;103
1138;1274;249
297;-1323;-867
-1015;-2712;-1034
-291;-1367;19
947;111;685
2400;1590;-1289
2809;153;988
235;-1059;-1195
1888;-631;-851
3622;1584;8
1740;913;1436
353;647;151
-704;1766;445
67;609;251
498;465;238
1248;736;-311
3480;772;-474
3283;-691;-275
1451;1488;308
603;-302;-701
-1184;-2880;-1241
-585;-1695;28
726;-13;639
2048;1321;-573
2753;0;-441
184;-1371;-350
1483;-1267;-299
3334;1151;-842
2480;3022;1394
798;-108;456
68;801;372
-398;1677;554
-55;983;193
554;375;-134
2735;1187;-187
3991;-175;-619
2290;127;40
1174;800;282
-222;-1606;-863
-1150;-2556;-882
-158;-1106;-91
1277;695;561
2094;1775;-897
1492;-462;-443
1589;-1131;89
108;-956;-959
3293;723;-976
2863;1752;1286
953;411;607
-293;1471;534
-481;1518;579
408;537;205
1091;679;-279
3668;1161;265
3612;-692;-943
2313;850;126
1495;569;-348
-791;-2669;-1513
-1257;-1945;-604
-135;-841;17
2136;437;500
1269;990;-952
2403;-709;-245
726;-430;112
975;-160;-1090
3793;1474;-73
2082;578;1326
823;522;238
-847;2227;555
-156;1119;437
437;359;66
2118;630;-162
3962;376;-449
3203;-109;-153
2065;1120;173
522;-630;-1018
-1431;-2359;-1561
-769;-1577;-467
624;-331;1103
2599;1119;-709
699;103;853
2478;-822;-615
448;-881;-1031
2988;313;-1051
3099;2262;842
1558;418;910
373;677;59
-645;2166;644
-210;756;226
670;122;146
2691;844;157
3990;-6;-864
2641;512;133
1892;1194;95
273;-1344;-1463
-1377;-2563;-1454
-659;-1443;-197
1100;253;1092
2356;976;-642
2255;-701;-360
536;-108;219
616;-489;-719
3882;950;-715
2374;1203;1529
1070;180;573
-222;1780;531
-512;1020;616
388;760;31
2507;1616;-63
3888;-183;-1067
3344;301;-115
2415;1402;24
485;-1257;-1623
-1240;-2951;-1259
-941;-2316;-384
945;-101;837
2742;1584;-1297
1262;724;730
1980;-894;-904
-309;-1329;-1068
3481;277;-874
3041;2035;1204
1360;493;886
11;1519;431
-750;1662;575
344;500;125
1820;860;-143
3896;732;-706
3811;422;-67
2763;1670;108
942;-984;-1666
-1359;-2890;-1412
-938;-2154;-1003
279;-732;416
2593;1163;-441
1036;901;-363
1478;-878;-521
1151;-1227;43
1565;59;-1091
3955;1662;-137
2185;495;1408
918;762;34
-828;2786;648
-461;1979;382
1517;359;-265
3948;86;32
3484;-395;-773
2746;812;238
1246;169;-608
-1407;-2734;-2094
-1189;-1987;-697
47;-786;383
2586;1141;81
1853;365;211
1531;-703;-911
733;-1092;-164
1858;-756;-877
3633;2654;-620
1267;1793;1450
1218;49;424
-264;2166;738
-282;1331;478
1371;727;-114
3883;620;-39
3554;-270;-1057
2703;776;164
1324;637;-412
-1236;-2560;-1622
-1138;-2218;-889
94;-1064;280
1987;824;-523
2604;539;1167
1898;-300;-1121
113;-539;-808
2387;-97;-957
3363;1718;10
1536;676;1151
473;978;379
-320;1880;711
85;637;316
706;242;-96
3288;645;271
3695;-263;-1010
2861;1182;354
2126;1321;-163
-293;-2227;-1559
-1685;-2287;-1180
-369;-1394;60
1363;51;420
2025;858;-805
1937;-831;-317
1956;109;800
562;38;-1188
3368;1180;-1346
2513;1015;1886
1373;-179;231
-394;2199;256
-905;2516;424
373;546;84
1499;-67;-411
3914;672;-326
3498;98;-159
2440;1216;267
930;-694;-1196
-1483;-2920;-1668
-984;-1870;-440
365;-66;851
2773;1082;-972
658;46;804
2629;-730;-498
665;-382;-952
2659;601;-1104
3001;1690;296
1745;540;1291
845;831;284
-759;2587;682
0;976;338
1646;695;-6
3817;315;-144
3523;-469;-882
2846;950;291
1132;105;-651
-1591;-2434;-1595
-1346;-2012;-863
387;-774;609
2473;1004;-650
1798;-173;858
1816;-450;-1035
405;-508;-568
2750;459;-1107
3120;2491;341
1651;228;1257
950;286;-113
-842;2623;529
-269;1857;374
2116;640;-28
3767;-628;-488
3381;395;-409
2662;1064;160
928;-136;-787
-1280;-2495;-1658
-948;-1857;-890
252;-709;403
2100;983;-478
1051;756;701
1969;-1112;-495
932;-615;-249
2216;139;-744
3387;1897;-93
1896;415;1250
1105;583;164
-805;2371;618
-313;1320;401
1126;447;-182
3630;650;-106
3798;-39;-1143
2949;1054;65
1920;653;-388
-918;-2773;-1581
-1396;-2119;-719
-276;-1211;-298
1349;432;454
2412;1333;-1247
1094;-28;59
1657;-1222;-102
1178;-254;-572
3559;1400;-924
1889;1417;1223
1200;168;748
-69;1425;507
-582;1484;594
522;229;258
2054;445;-41
3860;328;-607
3332;575;-143
1828;660;11
306;-553;-608
-997;-2058;-1120
-752;-1414;-516
491;-182;799
1440;1515;-1143
2414;-184;477
1118;-1011;-301
1345;-746;-627
3466;777;-1051
2082;1829;1067
1484;289;636
157;1564;279
-835;1872;551
287;117;174
2392;647;355
3920;259;-444
3294;884;90
2386;716;39
696;-251;-661
-1287;-2595;-1487
-898;-1287;-676
443;-69;911
2260;1159;-703
155;-435;1459
2151;-482;-1069
1091;-123;-516
2190;614;-898
2691;677;324
2308;-79;848
676;1438;354
-1201;2531;592
402;812;584
1731;94;-177
3929;415;-82
3134;118;-678
2282;947;188
1105;129;-618
-1109;-2421;-1464
-1343;-1662;-769
137;-719;510
1993;919;-622
1042;802;236
2272;-769;-338
598;-417;-456
1891;-252;-399
3365;842;-657
2424;556;1324
1379;953;316
-691;2598;554
-527;1441;503
1064;41;-50
3521;578;169
3778;15;-1006
3220;1001;208
1902;828;-83
-967;-1993;-1722
-1587;-2074;-839
-390;-1393;-187
1736;206;582
2238;1135;-1088
947;-264;402
1451;-1065;-210
1153;-317;-471
3503;1344;-1122
2296;976;1200
1749;-288;693
388;1698;227
-1089;2467;501
139;521;143
2071;273;112
3858;435;-510
3544;436;-276
2654;853;49
1017;-366;-960
-1337;-2533;-1505
-1046;-2028;-758
501;-739;892
2243;1040;-1388
1832;616;1018
1743;-937;-128
848;-660;-952
3292;1006;-1105
2152;2118;844
1272;175;728
300;1106;365
-711;2097;620
463;454;132
1538;373;-104
3550;415;-138
3558;376;-554
2563;1283;268
1137;-14;-871
-1269;-2654;-1748
-1296;-2087;-597
513;-310;1112
2272;999;-1237
1868;100;958
1562;-784;-734
813;-838;-561
2961;691;-927
2603;2216;547
1477;-55;752
636;708;233
-756;2087;626
-213;687;279
1060;225;26
3583;988;-33
3912;411;-265
2529;932;167
1306;-34;-671
-1244;-2820;-2057
-1209;-1949;-506
-86;-464;610
1994;950;-438
1558;551;251
1886;-882;-333
1399;-757;-286
1775;78;-907
3248;1562;-228
2211;166;1342
1176;673;184
-786;2745;618
-255;1388;608
1199;-243;-174
3289;782;20
3739;441;-590
2589;285;-1
1705;650;-235
-969;-2181;-1851
-1564;-2205;-934
-189;-1287;440
1893;750;-190
2089;1510;-653
1949;-854;747
562;-1087;-939
2409;-405;-391
3458;1731;-710
1679;1228;1323
1099;-21;390
-304;1885;413
-787;1713;580
592;598;-98
3005;686;107
3985;-574;-1230
3102;565;17
2176;1117;269
-30;-1217;-1191
-1738;-2330;-1284
-793;-1654;-289
1244;174;1009
2617;1381;-1341
2060;-465;282
589;-1181;-557
1809;-765;-98
3460;1312;-1210
1932;1996;1156
1389;-47;672
230;1322;338
-582;1937;628
190;376;94
1842;296;14
3907;293;-586
3382;634;79
2589;1109;66
935;-702;-1065
-1877;-2554;-1478
-1320;-1718;-324
571;-400;638
2554;921;-615
958;474;833
2220;-614;-340
416;-1309;-1091
2911;163;-846
3078;1926;-151
1624;715;1305
1054;943;403
-505;2091;582
-293;745;268
1117;-10;46
3519;947;-44
3874;119;-841
2595;785;149
1532;827;-547
-943;-2416;-1886
-1506;-2415;-799
-10;-1267;715
2044;557;-454
1972;843;393
1825;-330;-642
641;-856;-683
2895;35;-797
2884;2239;113
1598;556;931
803;838;300
-753;2217;562
-57;837;354
1435;293;-36
3774;465;82
3530;-402;-1013
2802;843;293
1256;600;-204
-1076;-1935;-1288
-1454;-1901;-721
42;-989;166
2131;556;26
1128;1493;-858
1321;-770;-73
1558;-1295;285
1886;246;-302
3078;1565;-681
2094;472;1097
1039;344;296
-306;2155;297
-811;2122;673
744;294;-282
3414;152;94
3869;-286;-1086
3351;1475;347
2489;923;35
-76;-1930;-1722
-1709;-2233;-1154
-826;-1569;-308
719;211;664
2386;1052;-797
401;-774;1299
1964;79;-1084
1344;94;-819
2406;548;-1246
2984;305;1029
1856;114;597
328;1494;167
-870;2360;429
-238;1320;254
2101;695;-148
3944;-515;-505
3370;234;-404
2728;1103;176
1473;-118;-705
-1388;-2690;-1678
-1383;-2128;-562
-54;-1017;12
1967;863;-256
1876;1143;63
2050;-639;136
443;-745;-911
2218;-56;-316
3189;1787;-520
1650;971;1339
980;-172;415
-296;1668;299
-561;1470;660
410;392;-84
2519;785;24
3893;258;-1040
3407;612;171
2444;1055;167
329;-1269;-1134
-1663;-2147;-1141
-800;-1511;-531
1175;-229;1097
2518;982;-1512
785;439;1138
1694;-1150;-157
710;-416;-590
3452;1072;-904
2170;1798;710
1376;-70;972
733;379;241
-564;1824;345
-370;846;524
743;477;-195
3394;887;144
3859;-18;-936
3041;1189;400
1916;819;-196
-624;-2234;-1689
-1437;-2137;-946
59;-1415;522
1813;214;-37
1682;1517;-346
1592;-343;343
775;-665;-737
2121;75;-282
2963;1836;-418
1558;974;1042
1107;-68;491
-2;1319;351
-459;1023;625
294;175;84
2187;1226;11
3675;630;-1057
3495;1117;-53
2815;1303;10
1233;-1077;-1057
-1296;-2400;-1138
-1237;-2069;-229
547;-469;930
2074;840;-1078
1754;432;1746
2084;-166;-1327
-150;-953;-498
2978;394;-252
2383;1832;-280
1886;680;1410
1252;-93;498
-251;1609;437
-398;1234;615
498;-3;-72
1760;607;-421
3844;2716;-507
3500;74;-436
2336;1097;113
-145;-2176;-790
-1198;-2190;-1212
-440;-1885;-423
1043;346;352
2378;1484;-1252
2792;-172;716
-432;-1526;-1232
2336;-434;-73
3561;2265;-860
1813;1440;1333
1568;-345;608
26;1354;119
-949;1438;483
385;11;286
1765;486;-111
3925;936;-263
3679;184;-682
2439;1332;-66
1656;-78;-831
-1150;-2724;-1030
-1524;-2065;-755
-21;-1118;-24
1748;791;-30
1954;1581;-382
2236;-466;857
15;-1552;-1281
2861;-356;-353
3078;2168;-739
1875;1355;1183
1409;-299;795
-13;1384;272
-864;1926;517
446;279;-130
2102;554;91
3799;227;-1080
3322;932;224
2489;971;68
712;-753;-870
-1439;-2326;-1260
-1141;-1649;-414
551;-363;819
2215;1350;-1112
1018;215;1140
2173;-1315;-191
1310;-864;-991
2521;493;-971
2883;2455;-319
1778;489;1111
1088;-227;309
-796;2077;28
-562;2260;965
1230;165;-356
3467;-139;241
3626;-3;-624
2949;878;259
1939;419;-136
-919;-2126;-1480
-1699;-1722;-770
-468;-975;213
1740;685;41
2223;1507;-745
776;-1165;508
1802;-1230;-75
1778;-406;-811
3133;797;-1364
2283;1849;1154
1449;334;522
478;1369;151
-988;2472;592
92;633;157
1788;-204;-35
3770;365;-295
3466;744;-104
2582;889;97
1310;-264;-778
-1354;-2289;-1651
-1412;-1713;-535
219;-468;1026
1797;891;-982
1625;238;838
1478;-544;-776
1247;-692;-491
2758;217;-924
2684;2062;258
1831;226;977
1033;737;97
-984;2462;575
-33;886;475
1600;294;18
3793;524;-190
3620;321;-692
2708;637;-49
1265;222;-562
-1310;-2473;-1704
-1389;-1865;-565
147;-865;662
2110;430;-685
1595;354;1062
1741;-396;-924
855;-715;-558
2950;382;-894
2746;2447;408
1370;371;907
881;366;144
-529;2196;412
-200;978;428
1330;334;42
3706;840;39
3785;-25;-1024
2740;753;103
1606;560;-394
-1036;-2326;-1552
-1302;-2065;-872
159;-1309;609
1958;486;-525
1722;1014;267
1660;-257;-94
636;-994;-619
2688;-447;-502
3402;2293;-570
1412;1155;1303
1241;-172;307
-470;2186;388
-460;1689;599
1160;329;-311
3486;572;-67
3876;-5;-1038
2907;940;203
1248;258;-547
-1438;-2605;-1772
-1406;-2125;-349
173;-996;544
2303;610;-525
1221;985;-215
2068;-852;33
-15;0;1039
-14;-1;1036
-15;0;1038
-14;-1;1039
-14;-1;1040
-15;0;1038
-14;0;1038
-15;0;1037
-16;1;1041
-15;0;1039
-15;0;1038
-15;1;1038
-15;1;1038
-15;1;1038
-16;1;1039
-17;2;1041
-16;1;1037
-15;0;1037
-15;0;1036
-15;0;1040
-15;0;1040
-15;0;1039
-15;0;1039
-15;0;1038
-15;0;1036
-15;0;1043
-15;0;1035
-15;0;1039
-15;0;1039
-15;0;1038
-14;0;1035
-21;8;1041
-16;2;1037
-18;5;1039
-21;9;1044
-19;6;1037
-20;7;1038
-18;5;1037
-21;10;1042
-21;9;1033
-19;6;1044
-24;13;1034
-15;1;1035
-23;13;1045
-16;3;1032
-22;11;1042
-17;3;1034
-22;10;1042
-16;3;1037
-112;-293;570
1070;-259;-97
1274;-396;-463
397;-504;-165
-83;-353;-129
-1044;-286;1053
-2546;-372;2392
-3442;-443;1627
-1521;-350;726
437;-143;438
1417;-205;-599
1759;-278;-1165
476;-289;-255
-2383;-227;2546
-3759;-508;2505
-1452;-633;348
539;-325;198
1450;-249;-967
1231;-255;-1122
3;-288;195
-3271;-417;3424
-3342;-674;1108
-777;-527;676
812;-250;414
1695;-353;-987
1295;-284;-662
665;-185;163
-1623;-141;1246
-3738;-46;1540
-3699;-471;388
-1328;-250;547
797;-135;403
1769;-407;-532
1756;-439;-783
926;-265;-42
-791;15;490
-3593;27;2131
-3863;-272;1001
-1481;-315;194
684;-310;456
1656;-470;-427
1606;-482;-924
980;-259;-301
-1349;153;1226
-3987;-39;2976
-2921;-388;1203
-703;-283;416
864;-251;312
1586;-424;-466
1424;-474;-1055
764;-257;-540
-845;89;771
-3851;30;3564
-3490;-254;1326
-1061;-287;233
825;-242;504
1308;-396;-327
1325;-493;-1041
937;-383;-630
-19;-73;229
-3321;119;3110
-3559;-247;1976
-1447;-446;200
480;-337;372
1200;-367;-408
1457;-435;-1253
880;-263;-1032
-421;-29;363
-3451;39;3564
-3112;-351;2268
-957;-510;279
405;-369;484
1139;-422;-338
1092;-489;-791
883;-391;-512
284;-248;-99
-2479;0;2223
-3448;-237;3667
-1596;-368;1097
17;-322;588
1314;-341;-361
1494;-454;-1161
1038;-386;-737
-6;-187;115
-3065;-149;2512
-3464;-489;3102
-1133;-488;533
682;-402;319
1515;-440;-813
1215;-393;-1003
792;-267;-346
-178;-3;81
-3153;120;2845
-3513;-221;3438
-1284;-393;622
446;-351;381
1323;-417;-523
1388;-453;-1089
935;-330;-471
266;-112;16
-3016;200;2455
-3792;-76;3403
-1365;-370;195
756;-314;76
1465;-397;-1056
1225;-360;-896
903;-246;-129
-896;-6;684
-3744;-21;3693
-2741;-200;1778
-675;-462;-51
1037;-390;-109
1515;-439;-1001
1282;-341;-810
386;-155;178
-2833;146;2274
-3756;-112;3525
-1432;-248;539
542;-290;116
1650;-407;-1004
1461;-449;-1362
715;-261;-130
-1290;132;1039
-3824;105;3748
-2652;-126;2145
-351;-304;94
1308;-303;-340
1770;-393;-1590
1203;-215;-1057
25;119;411
-3262;456;2927
-3615;9;3543
-1170;-118;503
833;-144;-216
1590;-348;-1049
1336;-389;-1035
793;-259;-57
-1479;116;1083
-3794;-77;3783
-2261;-190;2183
-162;-257;-108
1339;-357;-181
1434;-425;-932
1008;-380;-557
-155;-126;242
-3363;5;3201
-2762;-84;2998
-522;-424;-322
971;-406;-180
1184;-453;-973
937;-416;-873
513;-296;-39
-1905;-29;1746
-3556;-179;3640
-2001;-391;1496
-305;-316;605
1044;-311;-181
1415;-453;-1150
986;-373;-908
563;-179;-108
-1986;0;1672
-3770;-172;3924
-1772;-380;1472
118;-365;272
1337;-316;-855
1483;-379;-1843
1008;-215;-521
-787;-50;1184
-3798;-247;3726
-2663;-508;2170
-313;-338;294
1076;-247;-474
1530;-378;-1457
1144;-316;-759
353;-154;288
-3069;-146;2756
-3628;-412;3286
-1217;-406;550
696;-249;-81
1565;-372;-1287
1237;-384;-1230
613;-283;251
-1995;-222;1763
-3667;-532;3333
-1655;-475;1301
176;-373;-29
1383;-367;-732
1398;-386;-1066
879;-254;-515
-239;-31;542
-3587;35;3567
-3285;-317;1935
-741;-478;213
810;-289;-65
1562;-396;-1176
1318;-384;-893
87;-217;521
-3144;-163;3263
-3451;-485;2117
-953;-445;406
743;-306;-294
1459;-386;-1157
1147;-349;-721
519;-291;205
-2193;-206;1829
-3640;-468;3046
-1861;-561;973
71;-372;190
1251;-381;-304
1463;-440;-888
1009;-350;-713
-633;-109;809
-3525;-109;3598
-3075;-506;1707
-829;-440;415
862;-250;83
1578;-333;-991
1271;-363;-1161
467;-325;273
-2004;-269;2257
-3765;-671;2797
-1796;-612;1409
114;-318;-232
1254;-258;-1030
1404;-268;-1278
1001;-158;-511
-132;-68;299
-3466;-173;3164
-3622;-395;2358
-1215;-466;-11
587;-259;40
1304;-313;-807
1325;-360;-917
862;-242;-485
-579;-80;744
-2643;-189;3334
-2883;-527;3113
-1175;-448;779
215;-333;-56
1054;-377;-587
1105;-429;-900
635;-374;-535
-814;-359;1358
-2153;-457;3057
-1956;-557;3321
-563;-312;845
857;-293;-715
1257;-322;-1720
891;-274;-1041
381;-145;-197
-1177;-205;1831
-1937;-283;3997
-1486;-449;2411
-267;-418;650
672;-304;-589
1035;-360;-1321
1013;-367;-798
434;-282;-470
-1115;-238;2095
-2149;-244;3997
-1273;-406;1575
3;-457;33
724;-381;-945
941;-344;-1058
814;-299;-408
222;-241;-30
-1591;-231;2727
-2068;-467;3707
-863;-610;882
188;-404;11
764;-314;-1050
1028;-291;-1072
647;-282;-324
-810;-304;1509
-2102;-706;3976
-1305;-700;2205
-67;-414;612
804;-254;-780
1002;-280;-1421
895;-218;-788
603;-151;-355
-696;-18;1123
-2568;-273;3994
-1879;-525;2269
-310;-381;559
824;-208;-668
1092;-296;-1196
973;-317;-643
518;-244;-415
-1228;-147;1959
-2292;-454;3867
-1480;-626;1406
98;-435;362
975;-376;-1007
1120;-344;-1219
817;-181;-678
-184;-76;762
-2699;-247;3719
-2283;-517;2747
-365;-525;616
853;-435;-482
1352;-351;-1449
1019;-192;-1468
473;29;88
-2089;66;3021
-3272;-387;3479
-1330;-600;1020
60;-405;274
971;-414;-558
1371;-443;-1046
1136;-330;-1090
543;-115;-14
-2123;11;2597
-3416;-430;3706
-1619;-481;1375
-189;-222;771
1246;-184;-605
1838;-321;-1974
1071;-86;-1359
338;131;295
-2389;31;2865
-2718;-336;3710
-1023;-574;547
608;-361;160
1226;-392;-1179
1131;-300;-1215
726;-168;-495
-131;35;651
-2571;180;3807
-2001;-234;2982
-518;-386;573
393;-262;-274
977;-317;-1181
1121;-295;-1789
674;-45;-329
-1123;-19;3118
-2104;-472;3809
-807;-611;1225
211;-409;-220
736;-325;-1334
860;-239;-1416
617;-93;-805
-482;78;1492
-1855;11;3997
-1437;-396;2316
-172;-364;531
624;-217;-675
949;-278;-1174
881;-289;-1202
708;-171;-736
-490;101;1164
-1872;52;3985
-1623;-381;2615
-334;-342;1046
517;-187;-381
1132;-234;-1476
986;-235;-1390
581;-156;-637
-633;13;1953
-1828;-211;3997
-1347;-423;2374
-189;-283;549
671;-216;-916
1119;-290;-1657
1045;-237;-807
291;-54;140
-1803;39;3586
-1838;-319;3285
-481;-360;572
644;-229;-608
932;-329;-1486
840;-270;-1011
539;-176;-379
-803;89;1446
-1729;18;3997
-1114;-277;2257
-72;-334;339
680;-240;-755
905;-353;-1421
757;-305;-853
181;-108;84
-1532;-123;3408
-1664;-402;3292
-708;-503;944
507;-282;-171
843;-334;-1394
874;-306;-662
567;-203;-873
-312;20;956
-1408;-158;3987
-1330;-547;2516
-153;-469;542
534;-298;-684
735;-316;-1010
553;-304;-1134
202;-100;-87
-608;-85;3495
-991;-448;3760
-344;-476;1049
500;-274;-502
616;-299;-1762
585;-209;-835
354;-137;-448
-635;-15;2375
-1116;-223;3977
-862;-486;1742
267;-269;87
970;-208;-1282
916;-213;-1265
779;-83;-841
130;124;-58
-3155;358;3093
-2855;-192;1935
-2270;-376;-769
-815;-152;336
1373;-134;767
1922;-461;269
1064;-193;513
-2219;162;326
-3614;-243;-1095
-2061;-317;-688
-1251;-383;163
955;-315;505
1709;-409;967
995;-42;848
-2232;484;154
-3963;-39;-1560
-2610;-271;-1005
-1027;-192;142
994;-172;803
1470;-369;533
1219;-244;447
243;158;489
-3008;487;-4
-3956;-56;-1827
-2050;-193;-413
-45;-208;408
1467;-316;683
1472;-359;373
758;-92;374
-2507;483;329
-3959;56;-1711
-1832;-108;-720
-187;-292;676
1557;-302;531
1381;-450;612
801;-160;666
-2768;383;156
-3920;-23;-1705
-1639;-191;-521
43;-399;646
996;-546;577
1066;-488;462
645;-440;419
-88;-39;646
-3014;425;-52
-3795;94;-2225
-2363;-174;-316
-288;-285;-145
2073;-553;986
2344;-602;805
1019;-264;261
-444;238;215
-3641;932;289
-3853;342;-2768
-1070;-99;-2
832;-504;317
2513;-645;682
1688;-372;1126
-1465;401;301
-3997;317;-861
-2876;-90;-1317
-182;-281;314
1532;-455;398
2027;-558;273
1138;-259;68
-1233;395;868
-3997;299;320
-2576;-255;-190
-506;-354;689
494;-270;260
1702;-437;-81
1435;-575;-846
664;-149;-598
-2012;744;1504
-3785;613;2943
-1922;-87;1605
167;-372;514
900;-609;209
1219;-857;-1049
265;-303;-356
-971;1114;2444
-1547;1111;3932
-574;162;1518
391;-312;-202
924;-616;-1367
652;-604;-1091
435;-99;-91
-728;879;2592
-653;893;3920
-351;74;1351
447;-360;-530
845;-587;-1888
584;-487;-1385
193;-24;-35
242;717;3281
299;272;3603
-39;-250;644
462;-285;-1158
258;-350;-2586
405;-184;-713
271;286;1189
628;310;3997
23;-86;2417
185;-315;-16
363;-402;-1373
361;-429;-1849
467;-205;-687
-89;170;203
-639;1084;3646
-493;736;3481
-285;-144;666
522;-280;-129
1148;-717;-1460
832;-628;-955
252;-191;-35
-1355;1306;2597
-1560;1288;3777
-260;-6;727
625;-523;-480
1103;-822;-1368
860;-618;-953
184;-71;-111
-1492;1402;2046
-2025;1979;3982
-827;332;1010
84;-307;314
1318;-903;-1164
960;-815;-784
166;-147;296
-1473;1743;2366
-1752;1697;3693
-653;233;777
595;-515;-204
1139;-951;-928
846;-792;-794
107;-1;435
-1497;1482;2209
-2263;1748;3823
-580;141;966
138;-446;204
1067;-787;-797
1067;-730;-645
446;-279;45
-1016;930;1215
-2414;1977;3947
-1568;815;2035
-243;8;637
977;-530;-597
1295;-902;-1300
829;-460;-121
388;-60;76
-1917;1556;2008
-2228;1974;3928
-838;237;810
76;-292;318
991;-711;-734
1046;-744;-730
608;-390;117
-559;573;455
-2699;2110;3785
-1268;986;2318
-390;-128;237
480;-328;-38
1231;-795;-1064
980;-716;-816
