X (mg);Y (mg);Z (mg)
2049;14;722
303;1044;634
-196;67;-233
-287;-283;-323
73;610;-91
-67;224;-201
1130;1688;-735
2525;1339;-327
1516;-157;-142
3172;260;2677
997;-102;-709
149;675;-297
-110;151;78
-9;-315;-50
-70;-408;-621
586;203;-746
3535;1057;-191
2255;1122;917
1484;432;1033
364;550;158
-584;96;-443
220;-168;-249
-10;587;43
-340;176;-13
276;417;-684
2588;1783;-334
1909;611;122
2256;-467;1172
1776;349;1031
574;245;-591
-226;267;8
-30;-5;-145
-20;-68;-352
12;-14;-321
2172;0;-501
2877;948;455
2380;952;948
945;604;636
102;356;164
-347;-172;-579
215;-33;-42
-130;449;-214
-209;293;-174
1475;1861;-544
2533;1145;-215
1804;-353;174
2504;125;2351
961;-43;-580
28;477;-235
-222;95;-125
16;21;-150
-136;-254;-416
614;-174;-816
3549;1129;68
2419;1194;1120
1531;261;836
341;591;331
-539;30;-380
136;23;-238
67;639;-20
-365;82;-91
184;712;-581
2914;1675;-654
2018;423;-161
2433;-460;1272
1626;200;1242
441;110;-761
-438;254;-12
-23;59;-17
-137;8;-390
-52;-72;-174
1800;63;-1138
3703;1426;691
2189;698;1122
757;488;186
-288;277;4
-54;-274;-534
65;174;-104
-448;857;-37
66;868;-513
3101;1271;-237
1361;463;-354
2622;114;1122
2080;102;1662
572;109;-800
-103;288;69
-173;69;-172
87;-149;-353
-66;-330;-580
1346;168;-856
3665;1712;560
2070;614;1232
1296;215;569
-13;320;43
-490;64;-457
269;140;-118
-132;815;-153
-80;132;-64
931;1318;-922
3073;1247;-11
1929;-353;306
2421;-98;2139
1172;93;-71
305;492;-253
-417;69;-249
7;-134;-287
-85;53;-314
352;173;-468
3318;362;-188
2557;1287;1044
1818;313;876
279;942;376
-224;-16;-302
-5;-298;-327
77;537;1
-607;509;-47
732;666;-617
3011;1343;-214
1434;287;10
2587;22;1484
1576;182;1187
461;162;-812
-292;280;-50
-31;19;-55
44;-107;-387
-4;-229;-309
1831;380;-931
3469;1645;962
1613;243;1466
1088;432;145
-236;377;-31
-17;-223;-355
-112;310;-206
-398;623;-227
219;461;-357
2919;1259;138
1611;783;-68
2348;-331;865
2096;55;1689
507;253;-672
121;601;-70
-309;31;-150
52;-211;-284
4;-331;-323
1613;242;-920
3482;1521;567
1290;416;1224
1722;317;430
163;437;228
-299;-255;-322
-10;57;-233
-184;897;-150
-7;214;-70
2109;925;-616
2319;1413;-372
1935;-231;411
2313;143;2086
893;-47;-646
107;370;-172
-458;8;28
-55;-97;-167
-65;-282;-536
704;106;-549
3458;1221;-19
2405;1039;983
1884;-174;671
388;715;117
-434;145;74
77;-71;-413
-125;605;-262
-341;596;-118
2154;718;-311
1764;1105;-401
2195;221;271
2364;66;2176
975;-216;-522
309;440;-101
-372;222;-1
-77;-100;26
-3;-241;-458
191;-112;-426
2253;733;-965
3212;1622;1190
1525;97;1185
1012;581;179
-203;192;-14
-117;-201;-288
27;376;-91
-309;561;-89
349;261;-279
2928;1771;-85
1401;854;-47
2188;-517;704
2257;211;1364
629;208;-313
195;359;24
-392;61;-239
37;-121;-388
-46;-184;-403
1031;366;-541
3627;911;456
1998;666;1403
1450;604;621
82;513;333
-97;-214;-504
101;-9;-133
-116;667;-89
-263;297;-181
2165;1219;-351
1809;1128;-344
2190;-2;199
2315;-121;2268
949;-223;-425
352;595;-195
-359;97;-183
35;-28;-83
-69;-125;-519
947;6;-755
3268;1184;254
2255;776;1202
1983;235;661
132;629;421
-424;38;-222
108;-156;-467
209;653;-24
-617;702;-42
1272;576;-529
2348;1156;-346
1746;317;74
2599;115;1558
1341;-146;770
324;158;-589
3;417;-147
-129;92;-151
-23;-27;-239
143;-316;-408
2436;248;-733
2930;1900;1092
1936;274;1276
817;468;69
-173;75;91
-107;-247;-489
47;432;88
-281;776;-152
357;221;-469
2891;1071;-67
1528;1005;143
1991;-202;1065
2130;113;1217
507;87;-621
-48;325;-141
-218;2;-72
35;1;-350
41;-137;-265
2036;326;-720
3256;1420;827
1795;399;1219
1111;497;402
-56;304;224
-158;-259;-382
2;116;-165
-387;809;-149
189;539;-297
2589;1140;-199
1434;644;-365
2501;226;338
2025;212;2038
844;-80;-363
138;415;-119
-224;31;-250
56;-65;-222
-106;-274;-344
1087;128;-724
3349;1311;367
2106;761;1446
1716;258;470
-103;547;83
-370;10;-241
189;-63;-280
-224;653;7
345;496;-193
2158;925;-214
1261;1092;-156
2381;422;589
2480;-42;1971
658;-391;-524
177;572;-182
-217;114;-215
109;-63;-228
-12;-250;-675
1335;153;-636
3292;1581;656
2087;458;1339
1730;211;386
-288;657;291
-310;-174;-352
117;-70;-176
-68;751;-192
-221;245;33
1095;954;-588
2877;1372;-385
1660;104;50
2472;-76;1477
1172;173;645
394;248;-468
-276;117;-223
-19;-72;-113
-53;-154;-357
357;-118;-738
3233;911;-196
2078;1364;1304
1855;187;915
427;666;188
-161;12;-155
-81;-313;-270
28;513;-41
-335;674;-321
2434;1101;15
1234;1036;-490
1755;277;137
2808;148;1948
991;-440;-56
402;556;-218
-203;329;-92
6;-80;-91
44;-406;-403
710;-110;-923
3506;1314;-125
1878;1206;1579
2026;16;620
48;561;52
-418;81;-125
121;-180;-490
-264;566;-216
-390;356;218
403;823;-639
3500;1613;-402
1777;448;-268
2287;-23;1786
1233;195;367
297;337;-376
-274;65;103
-189;-188;-94
-14;-333;-544
246;2;-334
2782;1076;-485
2971;1250;1270
1849;-11;987
457;541;-207
-601;263;37
251;-243;-347
-125;348;-41
-581;631;-118
1866;972;-235
1985;1192;-321
1925;352;125
2511;133;1454
1320;33;606
179;1075;768
-357;-105;-466
-80;-324;-369
438;669;181
-216;923;-510
2157;549;-106
1008;534;-608
1864;127;303
3584;381;2091
1183;-590;282
45;680;-609
-80;186;-253
-53;127;-126
-158;-10;-357
125;-467;-656
2733;212;-421
2581;1070;804
1980;-306;601
602;687;500
-405;257;-115
-162;-218;-416
331;330;-16
-296;662;-135
835;781;-486
2417;732;-60
1460;-11;-94
2952;80;1204
2086;-139;1510
-6;328;-1018
-33;548;-174
-96;55;31
-94;53;-338
143;-358;-968
2900;323;-64
2626;1060;661
2351;-277;512
389;744;498
-156;313;131
-331;-211;-659
473;153;89
-280;645;-119
809;767;-551
2266;1088;-229
1333;66;-95
3151;87;682
1970;-23;1727
243;258;-764
-55;572;-89
-128;41;-127
-46;-62;-294
117;-388;-1095
2768;372;-175
2775;1066;572
2434;-172;474
419;769;436
-132;360;336
-515;-276;-662
490;-27;164
5;708;-107
-167;689;-560
2949;1132;-100
1470;163;-322
2350;25;414
2789;298;2305
380;-19;-981
-9;626;-323
-182;16;-81
-112;152;-252
-213;-185;-548
844;-332;-979
3653;1245;656
1677;406;1031
1372;69;724
160;675;204
-292;-70;-508
349;-137;-64
-206;458;-38
-85;552;-501
2616;1001;24
1395;771;-191
1988;162;221
3060;119;2302
767;-255;-399
9;694;-574
-155;280;59
-60;-45;-200
-159;-244;-373
540;-445;-1014
3602;942;423
2057;893;610
1681;-220;529
423;792;495
-288;-19;-337
-51;-287;-375
271;541;126
-136;634;-31
1008;598;-623
2301;914;0
1341;91;-57
2942;190;1004
1982;-119;1553
253;294;-902
-30;543;-141
-44;14;43
-131;-51;-290
-122;-248;-615
2684;-37;-603
2760;952;343
2092;203;937
612;607;246
-190;384;89
-269;-345;-604
490;147;151
-328;662;-140
565;760;-495
2215;844;-70
1464;117;-79
2648;-125;713
2427;140;1954
300;361;-890
-5;587;-202
-160;76;-139
-7;26;-260
18;-460;-1112
2592;231;-306
2928;1111;614
2557;-59;717
570;527;386
-69;478;310
-436;-153;-765
401;-16;239
-97;685;-174
-272;445;-397
2389;1073;-270
1788;704;-226
2148;-25;89
2825;223;2357
608;-106;-558
47;487;-426
-237;144;-71
-137;-90;-128
-212;-241;-531
851;-272;-968
3657;1198;353
2111;577;635
1475;21;702
312;838;462
-397;-63;-587
263;-273;-131
32;569;50
-359;440;-387
2274;789;-145
1570;851;-178
1745;231;196
3194;174;1456
1194;-413;635
41;650;-781
-243;379;67
-103;-23;-75
-160;-293;-469
514;-406;-1140
3361;1202;94
2202;795;747
2164;-331;531
313;972;546
-152;180;-22
-204;-421;-563
263;291;112
-318;677;-230
864;718;-449
2683;862;123
1198;51;-232
2455;212;680
2339;132;1581
570;54;-432
41;379;-266
-334;83;-209
7;-35;-275
-40;-291;-488
1878;-2;-868
3330;1314;590
2036;-141;840
1266;253;330
67;849;706
-317;-348;-686
137;-198;-28
96;784;-4
-7;787;-415
1960;511;-360
1415;717;-465
1767;-92;291
3348;285;1224
1464;-453;717
153;666;-770
-46;365;-43
-27;-206;90
-216;-198;-206
217;-307;-773
2917;215;-706
2524;922;372
2290;-27;1179
